Phase One,,,,,,,,,,,
Alexander Pierce,,,Robert Redford,,,,,,,,
Jack Rollins,,,Callan Mulvey ,,,,,,,,
Brock Rumlow ,,,Frank Grillo,,,,,,,,
Wolfgang von Strucker,,,Thomas Kretshmann,,Thomas Kretshmann,,,,,,
"Sam Wilson ""Falcon""",,,Anthony Mackie,,Anthony Mackie,Anthony Mackie,,,,,
Introduced in Guardians of the Galaxy ,,,,,,,,,,,
Bereet ,,,,Melia Kreiling,,,,,,,
The Broker ,,,,Christopher Fairbank ,,,,,,,
Cosmo ,,,,Fred,,,,,,,
Rhoman Dey ,,,,John C. Reilly ,,,,,,,
Drax The Destroyer ,,,,Dave Bautista ,,,,,,,
Gamora,,,,Zoe Saldana ,,,,,,,
Groot ,,,,Vin Diesel ,,,,,,,
Howard The Duck,,,,Seth Green ,,,,,,,
Korath ,,,,Djimon Houson,,,,,,,
Kraglin Obfonteri,,,,Sean Gunn ,,,,,,,
Nebula,,,,Karen Gillian ,,,,,,,
Meredith Quill,,,,Laura Haddock ,,,,,,,
Grandpa Quill,,,,Gregg Henry ,,,,,,,
"Peter Quill ""Star-Lord""",,,,Chris Oratt ,,,,,,,
"Irani Rael ""Nova Prime""",,,,Glen Close ,,,,,,,
Rocket,,,,Bradley Cooper,,,,,,,
"Ronan ""the Acuser""",,,,Lee Pace,,,,,,,
Garthan Saal ,,,,Peter Serafinowicz,,,,,,,
Yondu Udonta,,,,Michael Rooker ,,,,,,,
Introduced in Avengers Age of Ultron ,,,,,,,,,,,
Laura Barton ,,,,,Linda Cardellini,,,,,,
Helen Cho ,,,,,Claudia Kim,,,,,,
F.R.I.D.A.Y,,,,,Kerry Condon,,,,,,
Ulysses Kalue ,,,,,Andy Serkis ,,,,,,
Ultron ,,,,,James Spader ,,,,,,
Vision,,,,,Paul Bettany ,,,,,,
Introduced in Ant-Man,,,,,,,,,,,
Mitchell Carson,,,,,,Martin Donovan,,,,,
"Darren Cross ""Yellowjacket""",,,,,,Corey Stoll,,,,,
Dale,,,,,,Gregg Turkington ,,,,,
Dave,,,,,,"Tip ""T.I."" Harris",,,,,
Gale,,,,,,Wood Harris ,,,,,
Kurt,,,,,,David Dastmalchian,,,,,
Cassie Lang,,,,,,Abby Ryder Fortson,,,,,
"Scott Lang ""Ant-Man""",,,,,,Paul Rudd ,,,,,
Luis,,,,,,Michael Pena ,,,,,
Maggie,,,,,,Judy Greer,,,,,
Jim Paxton ,,,,,,Bobby Cannavale,,,,,
Han Pym ,,,,,,Michael Douglas ,,,,,
Hope van Dyne,,,,,,Evangeline Lilly ,,,,,
"Janet van Dyne ""Wasp""",,,,,,Hayley Lovitt,,,,,
Phase 3,,,,,,,,,,,
Characters ,Captain America: Civil War ,Doctor Strange,Guardians of the Galaxy Vol .2 ,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther ,Avengers:Infinity War ,Ant-Man and the Wasp ,Captain Marvel ,Avengers: EndGame ,Spider-man:Far From Home
"Bruce Banner ""Hulk"" ",,,,,,,Mark Ruffalo,,Mark Ruffalo,Mark Ruffalo,
"James ""Bucky"" Barnes  Winter Soldier",Sebastian Stan,,,,,,,,,Sebastian Stan ,
"Clint Barton ""Hawkeye""",Jeremy Renner,,,,,,,,,Jeremy Renner,
Peggy Carter ,,,,,,,,,,Hayley Atwell,
Phil Coulson,,,,,,,,,Clark Gregg,,
Fandral ,,,,,Zachary Levi,,,,,,
Jane Foster ,,,,,,,,,,Natalie Portman,
Frigga ,,,,,,,,,,Rene Russo,
Nick Fury ,,,,,,,Samuel L. Jackson,,Samuel L. Jackson,Samuel L. Jackson,Samuel L. Jackson
Heimdall,,,,,,,Idris Elba,,,,
Maria Hill,,,,,Idris Elba,,Cobie Smulders,,,Cobie Smulders,Cobie Smulders
"Harold "" Happy"" Hogan",,,,Jon Favreau,,,,,,Jon Favreau,Jon Favreau
Roger Harringotn ,,,,Martin Starr,,,,,,,Martin Starr
Hogun,,,,,Tadanobu Asano,,,,,,
Loki,,,,,Tom Hiddleston,,Tom Hiddleston,,,Tom Hiddleston,
Odin,,,,,Anthony Hopkins,,,,,,
"Virginia ""Pepper"" Potts",,,,Gwyneth Paltrow,,,Gwyneth Paltrow,,,Gwyneth Paltrow,
"James ""Rhodey"" Rhodes War Machine ",Don Cheadle,,,,,,Don Cheadle,,Don Cheadle,Don Cheadle,
William Ginter Riva ,,,,,,,,,,,Peter Billingsley
"Steve Rogers ""Captain America """,Chris Evans,,,,,,Chris Evans,,Chris Evans,Chris Evans,
Natasha Romanoff Black Widow ,Scarlett Johansseon,,,,,,Scarlett Johansson,,Scarlett Johansson,Scarlett Johansson,
Thaddeus Ross,William Hurt,,,,,,William Hurt ,,,William Hurt ,
"Johann Schmidt ""Red Skull""",,,,,,,Ross Marquand ,,,Ross Marquand ,
Jasper Sitwell,,,,,,,,,,Maximiliano Hernandez,
Obadiah Stane ,,,,,,,,,,,Jeff Bridges
Howard Stark,John Slattery,,,,,,,,,John Slattery,
"Tony Stark ""IronMan""",Robert Downey Jr. ,,,Robert Downey Jr ,,,Robert Downey Jr ,,,Robert Downey Jr ,Robert Downey Jr 
Thanos,,,,,,,Josh Brolin,,,Josh Brolin ,
Thor ,,Chris Hemsworth,,,Chris Hermsworth,,Chris Hermsworth,,,Chris Hermsworth,
Volstagg,,,,,Ray Stevenson,,,,,,
Laura Barton ,,,,,,,,,,Linda Cardellini,
"Sharon Carter ""Agent 13""",Emily Van Camp,,,,,,,,,,
Dave,,,,,,,,"Tip ""T.I."" Harris",,,
Drax The Destroyer ,,,Dave Bautista ,,,,Dave Bauista ,,,Dave Bautista,
F.R.I.D.A.Y,Kerry Condon ,,,Kerry Condon,,,Kerry Condon,,,Kerry Condon,
Gamora ,,,Zoe Saldana,,,,Zoe Saldana ,,,Zoe Ssaldana ,
Groot ,,,Vin Diesel,,,,Vin Diesel,,,Vin Diesel ,
Howard The Duck ,,,Seth Green ,,,,,,,,
Harley Keener ,,,,,,,,,,Ty Simpkins,
Ulysses Klaue,,,,,,,,,,,
Korath ,,,,,,,,,,Sean Gunn,
Kraglin Obfonteri,,,Sean Gunn,,,,,,,,
Kurt,,,,,,,,David Dastmalchian,,,
Cassie Lang ,,,,,,,,Abby Ryder Fortson,,Emma Fuhrman,
"Scott Lang ""Ant-Man""",Paul Rudd,,,,,,,Paul Rudd,,Paul Rudd,
Luis,,,,,,,,Michael Pena ,,,
Maggie ,,,,,,, ,Judy Greer,,,
"Wanda Maximof ""Scarlet Wich""",Elizabeth Olsen,,,,,,Elizabeth Olsen ,,,Elizabeth Olsen ,
Nebula ,,,Karen Gillian ,,,,Karen Gillian ,,,Karen Gillian ,
Jim Paxton ,,,,,,,,Bobby Cannavale,,,
Alexander Pierce ,,,,,,,,,,Robert Redford,
Hank Pym ,,,,,,,,Michael Douglas,,Michael Douglas,
Meredith Quill ,,,Laura Haddock ,,,,,,,,
Grandpa Quill ,,,Gregg Henry ,,,,,,,,
"Peter Quill ""Star-Lord""",,,Chris Pratt ,,,,Chris Pratt,,,Chris Pratt,
Rocket,,,Bradley Cooper,,,,Bradley Cooper,,,Bradley Cooper,
Jack Rollins ,,,,,,,,,,Callan Mulvey,
"Ronan ""the Acuser""",,,,,,,,,Lee Pace,,
